type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,ActualWeekday,Aktueller Wochentag,,,b509,0d5f00,value,,BDY,,,Wochentag
r,,,Date,Aktuelles Datum,,,b509,0d6100,value,,HDA:3,,,Datum
w,,,Date,Aktuelles Datum,,,b509,0e6100,value,,HDA:3,,,Datum
r,,,Time,Aktuelle Uhrzeit,,,b509,0d6000,value,,VTI,,,Uhrzeit
w,,,Time,Aktuelle Uhrzeit,,,b509,0e6000,value,,VTI,,,Uhrzeit
r,,,RoomTemp,Raumisttemp: raw value current room temperature and sensorstate (without any correction),,,b509,0d0000,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,RoomTempCorrection,Raumtemperatur-Abgleich: Korrekturwert der Raumtemperaturanzeige,,,b509,0d5700,value,,SCH,2,K,
w,,,RoomTempCorrection,Raumtemperatur-Abgleich: Korrekturwert der Raumtemperaturanzeige,,,b509,0e5700,value,,SCH,2,K,
r,,,DisplayedHc1RoomTempDesired,"Angezeigte Raumtemperatur Soll Heizkreis 1: 0= >5°C, currently displayed room temperature setpoint",,,b509,0d9600,value,,D1C,,°C,Temperatur
r,,,Hc1OPMode,Betriebsart Heizkreis 1,,,b509,0d2f00,value,,UCH,2=auto;3=on;4=night;5=summer,,operation mode of the first heating circuit
w,,,Hc1OPMode,Betriebsart Heizkreis 1,,,b509,0e2f00,value,,UCH,2=auto;3=on;4=night;5=summer,,operation mode of the first heating circuit
r,,,Hc1DayTemp,HC1_DaySetTemp: day setpoint,,,b509,0d2700,value,,D1C,,°C,Temperatur
w,,,Hc1DayTemp,HC1_DaySetTemp: day setpoint,,,b509,0e2700,value,,D1C,,°C,Temperatur
r,,,Hc1NightTemp,Absenktemperatur Heizkreis 1: Absenktemperatur des 1. Heizkreises,,,b509,0d3000,value,,D1C,,°C,Temperatur
w,,,Hc1NightTemp,Absenktemperatur Heizkreis 1: Absenktemperatur des 1. Heizkreises,,,b509,0e3000,value,,D1C,,°C,Temperatur
r,,,Hc1QuickVetoTemp,Quick Veto Temperatur Heizkreis 1: manual override setpoint of the first heating circuit,,,b509,0d3c00,value,,D1C,,°C,Temperatur
r,,,Hc1HolidayRoomTemp,"HC1_HolidayRoomSetTemp: 4.5=frostprotect, room setpoint during holidays",,,b509,0d4000,value,,D1C,,°C,Temperatur
w,,,Hc1HolidayRoomTemp,"HC1_HolidayRoomSetTemp: 4.5=frostprotect, room setpoint during holidays",,,b509,0e4000,value,,D1C,,°C,Temperatur
r,,,Hc1SFMode,HC1_SFMode,,,b509,0d5d00,value,,UCH,0=none;1=party;2=onedaybankholiday;3=onedayholiday;4=holiday;5=bankholiday;6=quickveto;7=onetimeventilation;8=onetimewater,,activated special function of first heating circuit
r,,,Hc1HolidayStartPeriod,HC1HolidayStartPeriod: first heating circuit's start date of holidays,,,b509,0d1100,value,,HDA:3,,,Datum
w,,,Hc1HolidayStartPeriod,HC1HolidayStartPeriod: first heating circuit's start date of holidays,,,b509,0e1100,value,,HDA:3,,,Datum
r,,,Hc1HolidayEndPeriod,HC1HolidayEndPeriod: first heating circuit's end date of holidays,,,b509,0d1200,value,,HDA:3,,,Datum
